owner_url,member_since,member_definitions,member_kudos,member_activity_count
https://cardano.ideascale.com/a/member/tobrien/3076577-48088,"Member since Monday, 8 March 2021 12:27","Developer, Entrepreneur, Teacher",151,549
https://cardano.ideascale.com/a/member/Oscar/3102803-48088,"Member since Thursday, 26 August 2021 09:34","Developer, Entrepreneur",14,13
https://cardano.ideascale.com/a/member/Ken-Stanton/3055968-48088,"Member since Thursday, 17 September 2020 04:42","Developer, Entrepreneur, Teacher",65,153
https://cardano.ideascale.com/a/member/Carl-Henry-Global/3097499-48088,"Member since Saturday, 24 July 2021 02:55",Entrepreneur,67,363
https://cardano.ideascale.com/a/member/Q-U-A-S-A-R/3055556-48088,"Member since Wednesday, 16 September 2020 19:53",Other/Prefer not to say,332,678
https://cardano.ideascale.com/a/member/Everstake/3062623-48088,"Member since Thursday, 14 January 2021 13:03","Developer, Entrepreneur, Marketing professional, Stakepool operator, Teacher",26,18
https://cardano.ideascale.com/a/member/Everstake/3062623-48088,"Member since Thursday, 14 January 2021 13:03","Developer, Entrepreneur, Marketing professional, Stakepool operator, Teacher",26,18
https://cardano.ideascale.com/a/member/Ken-Stanton/3055968-48088,"Member since Thursday, 17 September 2020 04:42","Developer, Entrepreneur, Teacher",65,153
https://cardano.ideascale.com/a/member/Ashish-Cardanoscan/3056303-48088,"Member since Thursday, 17 September 2020 15:30","Developer, Entrepreneur, Stakepool operator",379,90
https://cardano.ideascale.com/a/member/Ashish-Cardanoscan/3056303-48088,"Member since Thursday, 17 September 2020 15:30","Developer, Entrepreneur, Stakepool operator",379,90
https://cardano.ideascale.com/a/member/Ashish-Cardanoscan/3056303-48088,"Member since Thursday, 17 September 2020 15:30","Developer, Entrepreneur, Stakepool operator",379,90
https://cardano.ideascale.com/a/member/tobrien/3076577-48088,"Member since Monday, 8 March 2021 12:27","Developer, Entrepreneur, Teacher",151,549
https://cardano.ideascale.com/a/member/pm2120600/3102554-48088,"Member since Wednesday, 25 August 2021 22:55",Entrepreneur,3,10
https://cardano.ideascale.com/a/member/Tevo/3054455-48088,"Member since Wednesday, 12 August 2020 19:21","Developer, Entrepreneur, Community manager",174,350
https://cardano.ideascale.com/a/member/Kyle-Solomon-FROG/3056219-48088,"Member since Thursday, 17 September 2020 12:11","Developer, Entrepreneur, Marketing professional, Stakepool operator",503,92
https://cardano.ideascale.com/a/member/Kyle-Solomon-FROG/3056219-48088,"Member since Thursday, 17 September 2020 12:11","Developer, Entrepreneur, Marketing professional, Stakepool operator",503,92
https://cardano.ideascale.com/a/member/Kyle-Solomon-FROG/3056219-48088,"Member since Thursday, 17 September 2020 12:11","Developer, Entrepreneur, Marketing professional, Stakepool operator",503,92
https://cardano.ideascale.com/a/member/Kyle-Solomon-FROG/3056219-48088,"Member since Thursday, 17 September 2020 12:11","Developer, Entrepreneur, Marketing professional, Stakepool operator",503,92
https://cardano.ideascale.com/a/member/Kyle-Solomon-FROG/3056219-48088,"Member since Thursday, 17 September 2020 12:11","Developer, Entrepreneur, Marketing professional, Stakepool operator",503,92
https://cardano.ideascale.com/a/member/Btkanil/3102751-48088,"Member since Thursday, 26 August 2021 05:19",Community manager,3,1
https://cardano.ideascale.com/a/member/Michael-Yagi/3069826-48088,"Member since Sunday, 21 February 2021 08:31","Developer, Entrepreneur, Stakepool operator, Teacher",176,136
https://cardano.ideascale.com/a/member/Sam-Gralla/3097990-48088,"Member since Wednesday, 28 July 2021 22:58","Developer, Entrepreneur, Teacher",21,46
https://cardano.ideascale.com/a/member/Sam-Gralla/3097990-48088,"Member since Wednesday, 28 July 2021 22:58","Developer, Entrepreneur, Teacher",21,46
https://cardano.ideascale.com/a/member/David-Watts/3073107-48088,"Member since Wednesday, 3 March 2021 04:22","Developer, Entrepreneur",21,129
https://cardano.ideascale.com/a/member/BEN/3073103-48088,"Member since Wednesday, 3 March 2021 04:02","Entrepreneur, Community manager",47,43
https://cardano.ideascale.com/a/member/jsmith/3100583-48088,"Member since Friday, 20 August 2021 04:00",Entrepreneur,14,5
https://cardano.ideascale.com/a/member/Randall-Harmon/3084778-48088,"Member since Monday, 19 April 2021 02:44","Developer, Entrepreneur",86,72
https://cardano.ideascale.com/a/member/Trace/3102310-48088,"Member since Wednesday, 25 August 2021 02:08",Entrepreneur,1,6
